Sr No,News,Label
16," 500 நாட்களில் 25,000 மொபைல் டவர்கள்: ரூ.26,000 கோடியை ஒதுக்கியது மத்திய அரசு  ",0
17, அக்.4 | விண்வெளி ஆராய்ச்சியில் உலகம் முதல்படி எடுத்து வைத்த மகத்தான நாள்:...   ,0
18," ரூ.15,000 விலையில் லேப்டாப்: ரிலையன்ஸ் விரைவில் அறிமுகம்   ",0
19, மலிவு விலையில் லாவா பிளேஸ் 5ஜி ஸ்மார்போன்: சிறப்பு அம்சங்கள் என்னென்ன?   ,0
20, விமானப் படையில் இணைக்கப்பட்ட உள்நாட்டு இலகு ரக ஹெலிகாப்டர்கள்: சிறப்பு அம்சங்கள்   ,0
21, மோட்டோ ஜி72 ஸ்மார்ட்போன் இந்தியாவில் அறிமுகம் | விலை & அம்சங்கள்   ,0
22, மங்கள்யான் விண்கலத்தின் பயணம் முடிவுக்கு வந்தது   ,0
23, இந்தியாவில் 4ஜி சேவையை வேகமாக கொண்டு சேர்த்தது ஜியோ: அம்பானியை பாராட்டிய ஏர்டெல்...   ,0
24, எலான் மஸ்கை நோக்கி கையசைத்த டெஸ்லா ரோபோ | வீடியோ   ,0
25, 2023 ஆகஸ்ட் 15 முதல் பிஎஸ்என்எல் 5ஜி சேவையை வழங்கும்: அமைச்சர் அஸ்வினி...   ,0
26, ஸ்வீடனில் உள்ள வாகனத்தை டெல்லியில் இருந்து இயக்கிய பிரதமர் மோடி: வீடியோ   ,0
27, இந்தியாவில் ரூ.15000-க்கும் குறைவான விலையில் கிடைக்கும் 5ஜி ஸ்மார்ட் போன்கள்   ,0
28, 5ஜி சேவையை வழங்க தயார் - டெல்லி சர்வதேச விமான நிலையம் தகவல்   ,0
29, மொபைல் செயலிகளை பயன்படுத்தாமல் வாட்ஸ்அப் சாட்பாட் மூலம் ரயில் பயண தகவல்களை பெறுவது...   ,0
30, இந்தியாவில் அறிமுகமானது டெக்னோ பாப் 6 புரோ ஸ்மார்ட்போன் | விலை &...   ,0
31, அரசியல் சாசன அமர்வுகளின் வழக்கு விசாரணையை நேரலையில் ஒளிபரப்பும் உச்ச நீதிமன்றம்   ,0
32, இந்திய அரசு முடக்கச் சொன்ன ட்வீட்களில் 50 - 60 சதவீதம் தீங்கற்றவை:...  ,0
33, செல்போன்களில் ஜிபிஎஸ் உடன் NavIC-ஐ பயன்படுத்த ‘அழுத்தம்’ தருகிறதா இந்தியா?   ,0
34, அக்டோபர் 1-ம் தேதி 5ஜி சேவையை தொடங்கி வைக்கிறார் பிரதமர் மோடி   ,0
35, ஒன்பிளஸ் 10R 5ஜி பிரைம் ப்ளூ எடிஷன் இந்தியாவில் அறிமுகம்: விலை &...   ,0
36, ஐபோன் 14 சீரிஸில் புதிய அம்சம்: காரை ‘கிராஷ்’ செய்து பரிசோதித்த யூடியூபர்!    ,0
37, மின்சாரம் தாக்கி உயிரிழப்பு ஏற்படுவதை தடுக்க சுவிட்ச் போர்டு - மானாமதுரை எலெக்ட்ரீசியன்...   ,0
38, இன்ஸ்டா ரீல்ஸில் குறைபாட்டை சுட்டிக்காட்டிய இந்திய மாணவருக்கு ரூ.38 லட்சம் சன்மானம்   ,0
39, வாட்ஸ்அப்பில் வாக்கெடுப்பு அம்சம்: விரைவில் வெளியாகும் என எதிர்பார்ப்பு   ,0
40, இந்தியாவில் அறிமுகமானது ரியல்மி GT நியோ 3T ஸ்மார்ட்போன் | விலை &...   ,0
41, இந்தியாவில் அறிமுகமானது ஒப்போ F21s புரோ சீரிஸ் | விலை & அம்சங்கள்   ,0
42, அறிமுகமானது விவோ V25 ஸ்மார்ட்போன் | நிறம் மாறும் பேக் பேனல் உட்பட...   ,0
43, ரியல்மி C30s ஸ்மார்ட்போன் இந்தியாவில் அறிமுகம் | விலை & சிறப்பு அம்சங்கள்   ,0
44, பட்ஜெட் விலையில் நார்சோ 50i பிரைம் போனை அறிமுகம் செய்த ரியல்மி: விலை...   ,0
45, மோட்டோரோலா எட்ஜ் 30 அல்ட்ரா & ஃபியூஷன் ஸ்மார்ட்போன்கள் இந்தியாவில் அறிமுகம்: விலை...   ,0
46, உங்கள் ஸ்மார்ட்போனின் இயக்கம் ஸ்லோ டவுன் ஆகிறதா?- வேகப்படுத்த பயனுள்ள டிப்ஸ்   ,0
47," ஆப்பிள் ஈவென்ட் 2022 ஹைலைட்ஸ் | ஐபோன் 14 சீரிஸ் போன்கள், ஆப்பிள்...   ",0
48, பட்ஜெட் விலையில் 3 ஸ்மார்ட்போன்களை இந்தியாவில் அறிமுகம் செய்த ரெட்மி: விலை &...  ,0
49, போக்கோ M5 ஸ்மார்ட்போன் இந்திய சந்தையில் அறிமுகம் | விலை & அம்சங்கள்   ,0
50, சூரிய குடும்பத்துக்கு அப்பால் உள்ள பூமியைவிட பெரிய கிரகத்தை படம் பிடித்த ஜேம்ஸ்...   ,0
51, இதுவரை இல்லாத வகையில் ஜூலையில் இந்திய பயனாளர்களிடமிருந்து கூகுளுக்கு 37 ஆயிரம் புகார்கள்   ,0
52," பட்டதாரி, ஐ.டி. ஊழியர்களை இலக்காக வைத்து கோடிக்கணக்கில் பணம் பறிப்பு: புதுப்புது வடிவங்களில்...   ",0
53, களவு (அ) தொலைந்து போன ஸ்மார்ட்போனை பிளாக் செய்ய உதவும் அரசின் CEIR...   ,0
54, கர்ப்பப்பை புற்றுநோயை தடுக்கும் “செர்வாவாக்” தடுப்பூசி: இந்தியாவில் முதல் முறையாக உருவாக்கம்   ,0
55, ‘எடிட் பட்டன்’ சோதனையில் ட்விட்டர்: கட்டண சந்தா அடிப்படையில் அறிமுகமாகும் அம்சம்   ,0
56, மொபைல் போன் மூலம் வாக்காளர் அட்டை - ஆதார் எண் இணைப்பது எப்படி?...   ,0
57, விவோ Y35 ஸ்மார்ட்போன் இந்தியாவில் அறிமுகமானது | விலை & சிறப்பு அம்சங்கள்   ,0
58, தீபாவளி முதல் சென்னை உட்பட 4 நகரங்களில் ஜியோ 5ஜி சேவை அறிமுகம்   ,0
59, சமூக வலைதள நிறுவனங்கள் இந்திய சட்டங்களைப் பின்பற்ற வேண்டும்: மத்திய அமைச்சர் அஸ்வினி...   ,0
60, இந்தியாவில் அறிமுகமானது ரெட்மி நோட் 11SE ஸ்மார்ட்போன் | விலை & அம்சங்கள்   ,0
61, 2030-க்குள் இந்தியா 6ஜி சேவையை பெற வாய்ப்பு: பிரதமர் மோடி   ,0
62, சிவகங்கையில் குடிநீர் வருவதை அறிய அலாரம் உருவாக்கிய தொழிலாளி   ,0
63," BUYING GUIDE: இந்திய சந்தையில் ரூ.20,000-க்கு குறைவான பட்ஜெட்டில் கிடைக்கும் 5ஜி ஸமார்ட்போன்கள்   ",0
64, செவ்வாய் கிரகத்தில் தண்ணீர்: புதிய வரைபடத்தை வெளியிட்ட இஎஸ்ஏ  ,0
65, காற்று மாசிலிருந்து பாதுகாப்பு: இருசக்கர வாகன ஓட்டிகளுக்கு புதிய ஹெல்மெட் தயாரித்த ஸ்டார்அப்...   ,0
66, நாய்ஸ்ஃபிட் கோர் 2 ஸ்மார்ட்வாட்ச் அறிமுகம்: 50 ஸ்போர்ட்ஸ் மோடுகளுடன் அசத்தும் அம்சங்கள்   ,0
67, 'மீம்ஸ்' பார்க்க தினமும் 30 நிமிடங்கள் வரை செலவிடும் இந்திய நெட்டிசன்கள்   ,0
68, உடனடி கடன் தருவதாக கூறி மக்களிடம் கோடிக்கணக்கில் பணம் பறித்த 100-க்கும் மேற்பட்ட...   ,0
69, யுபிஐ பரிவர்த்தனைகளுக்கு சேவைக் கட்டணம் விதிக்கும் விவகாரம்: நிதி அமைச்சகம் விளக்கம்   ,0
70, புனே | உள்நாட்டிலேயே உருவாக்கப்பட்ட முதல் ஹைட்ரஜன் எரிபொருள் பேருந்து அறிமுகம்   ,0
71, உங்களது இன்ஸ்டா ரீல்ஸை பேஸ்புக்கில் போஸ்ட் செய்வது எப்படி?   ,0
72, இந்தியாவின் முதல் மின்சார டபுள்-டெக்கர் பஸ்: அறிந்ததும் அறியாததும்   ,0
73, 5ஜி-யை அமல்படுத்த தயாராக இருங்கள் - தொலைத்தொடர்பு நிறுவனங்களுக்கு மத்திய அரசு வலியுறுத்தல்   ,0
74, ரியல்மி 9i | பட்ஜெட் விலையில் 5ஜி போனை அறிமுகம் செய்துள்ளது ரியல்மி...   ,0
75, இந்தியாவில் VLC மீடியா பிளேயருக்கு தடை: அரசு தெரிவித்துள்ளது என்ன?   ,0
76, நிறம் மாறும் பேக் பேனல் உடன் விவோ V25 புரோ ஸ்மார்ட்போன் அறிமுகம்...   ,0
77, ஹேக் செய்யப்பட்ட1900 ‘சிக்னல்’ கணக்குகள்: தங்கள் கணக்கு பாதிக்கப்பட்டதா என்பதை பயனர்கள் அறிவது...   ,0
78, பிக்சல் போனில் 'ஆண்ட்ராய்டு 13' வெர்ஷனை வெளியிட்ட கூகுள்: விரைவில் அனைத்து போன்களிலும்...   ,0
79, இந்தியா @ 75: டிஜிட்டல் இந்தியாவும் தகவல் தொழில்நுட்ப வளர்ச்சியும்   ,0
80, ரியல் ‘சிட்டி’ - சியோமி அறிமுகம் செய்த ஹியூமனாய்டு ரோபோ: மதிப்பு ரூ.82...  ,0
81, இந்தியாவில் அறிமுகமானது மோட்டோ G62 5ஜி ஸ்மார்ட்போன் | விலை & அம்சங்கள்   ,0
82, இந்தியாவில் அனைத்து ஸ்மார்ட்போன்களும் டைப்-சி சார்ஜிங் போர்ட்: அரசின் விருப்பம்?   ,0
83," சாம்சங் கேலக்ஸி Z ஃபோல்ட் 4, ஃப்ளிப் 4 மற்றும் சில சாதனங்கள்...   ",0
84, புதிய பிரைவசி அம்சங்களை அறிமுகம் செய்த வாட்ஸ்அப் | முழு விவரம்   ,0
85, செல்போன் கோபுரங்கள் நிறுவுவதாக கூறி பணமோசடி: தொலைத்தொடர்பு துறை எச்சரிக்கை   ,0
86," ஆக.7-ல் விற்பனைக்கு வரும் Gizfit அல்ட்ரா ஸ்மார்ட்வாட்ச் | விலை, சிறப்பு அம்சங்கள்   ",0
87, இந்தியாவில் அறிமுகமானது ஒன்பிளஸ் 10T 5ஜி ஸ்மார்ட்போன் | விலை & சிறப்பு...   ,0
88, இந்திய சந்தையில் அறிமுகமானது ஒப்போ A77 ஸ்மார்ட்போன் | விலை & சிறப்பு...   ,0
89, ஜூன் மாதத்தில் 22 லட்சம் வாட்ஸ்அப் கணக்குகள் முடக்கம்   ,0
90, இந்தியாவில் அறிமுகமானது iQOO 9T ஸ்மார்ட்போன் | விலை & அம்சங்கள்   ,0
91, 5ஜி அலைக்கற்றை ஏலம் | ரூ.88 ஆயிரம் கோடியுடன் ரிலையன்ஸ் ஜியோ முதலிடம்...   ,0
92, Battlegrounds Mobile India கூகுள் பிளே ஸ்டோர் மற்றும் ஆப்பிள் ஆப் ஸ்டோரிலிருந்து...   ,0
93, பட்ஜெட் விலையில் ரெட்மி 10A ஸ்போர்ட் ஸ்மார்ட்போன் அறிமுகம் | விலை &...   ,0
94, இந்தியாவில் கூகுள் மேப்ஸின் ‘ஸ்ட்ரீட் வியூ’ அம்சம் அறிமுகம்; விரைவில் சென்னைக்கும் வசதி   ,0
95, ‘மெட்டாவெர்ஸ்’ என்னும் மெய்நிகர் தொழில்நுட்பம்: ஒரு விரைவுப் பார்வை   ,0
96, ஹேக் செய்யப்பட்ட 54 லட்சம் ட்விட்டர் பயனர்களின் தரவுகள்; ரூ.24 லட்சத்துக்கு விற்பனை?  ,0
97, 4-ம் தொழிற்புரட்சி காலத்தின் பயன்களும் பாதகங்களும் - ஒரு விரைவுப் பார்வை   ,0
98, விண்வெளிக் கதிரியக்க சவால்களைச் சமாளிக்கும் ‘செர்ன்’!   ,0
99," 2021-22ல் இந்தியாவில் 747 இணையதளங்கள், 94 யூடியூப் சேனல்களுக்கு தடை: மத்திய அரசு   ",0
100, சர்வதேச அளவில் முடங்கிய ‘டீம்ஸ்’ சேவை: மீம்ஸுடன் கொண்டாடிய பல்வேறு நிறுவன ஊழியர்கள்   ,0
101, பிளே ஸ்டோரில் 50+ செயலிகள் நீக்கம் - ‘உங்கள் மொபைலில் இருந்தால் டெலிட்...   ,0
102, ரெட்மி K50i ஸ்மார்ட்போன் இந்தியாவில் அறிமுகம் | விலை & சிறப்பு அம்சங்கள்   ,0
103, இந்தியாவில் அறிமுகமானது ஒப்போ பேட் ஏர் டேப்லெட் | விலை & சிறப்பு...   ,0
104, நேப் பாக்ஸ்... அலுவலகத்தில் குட்டித் தூக்கம் போட ஜப்பானில் ஓர் அசத்தல் கண்டுபிடிப்பு!   ,0
105, IR கன்ட்ரோல் கொண்ட சியோமி ஸ்மார்ட் ஸ்பீக்கர் இந்தியாவில் அறிமுகம் - விலை...   ,0
106, நாட்டிலேயே முதல் முறை: சொந்த இணையதள சேவையை கொண்ட மாநிலமானது கேரளா!   ,0
107," புதிய செல்போன், லேப்டாப், டேப்லட் பழுதுக்கு தீர்வு காண ‘பழுது நீக்கம் உங்கள்...   ",0
108, வானியலின் அற்புதங்கள் - ஜேம்ஸ் வெப் தொலைநோக்கி சாதித்தது என்ன?   ,0
109, டிஆர்டிஓ பெண் விஞ்ஞானி டெஸ்ஸி தாமஸுக்கு ஏபிஜே-2022 விருது   ,0
110," ரூ.4,390 கோடி வரி ஏய்ப்பு செய்த சீன செல்போன் நிறுவனம் ஒப்போ: வருவாய்...   ",0
111, ஜேம்ஸ் வெப் தொலைநோக்கி எடுத்த 5 புகைப்படங்களையும் புரிந்துகொள்வது எப்படி? - ஒரு...   ,0
112, ட்விட்டரை வாங்க எலான் மஸ்க் மறுப்பு: நீதிமன்றம் செல்ல நிறுவனம் முடிவு  ,0
113," 8-ம் ஆண்டில் சியோமி இந்தியா | 60% ஆஃபரில் ஸ்மார்ட்போன், ஸ்மார்ட் டிவி,...   ",0
114, நம் வாழ்நாளில் செவ்வாய் கிரகத்தில் மனிதர்கள் குடியேறுவர்: எலான் மஸ்க் கருத்து   ,0
115, ‘கருத்துப் பதிவுகளை நீக்குவதில் முரண்பாடு’ - மத்திய அரசுக்கு எதிராக நீதிமன்றத்தை நாடும்...   ,0
116, இந்தியாவில் ஒன்பிளஸ் நார்டு 2T 5ஜி ஸ்மார்ட்போன் விற்பனை தொடக்கம் | விலை...   ,0
117," இந்தியாவில் அறிமுகமானது மோட்டோ ஜி42 | விலை, சிறப்பு அம்சங்கள்   ",0
118, வர்த்தக முறைகேட்டில் ஈடுபடும் கல்வித் தொழில்நுட்ப நிறுவனங்கள் மீது நடவடிக்கை: மத்திய அரசு...   ,0
119, இந்தியாவில் மே மாதம் 19 லட்சத்திற்கும் மேற்பட்ட கணக்குகளுக்கு தடை விதித்த வாட்ஸ்அப்   ,0
120, பிளாக்செயின் தொழில்நுட்பத்தை எளிமையாக புரிந்துகொள்வது எப்படி?   ,0
121," லைவ் ஸ்ட்ரீமிங்கில் சட்டம், நிதி, மருத்துவ விவாதங்களுக்கு தகுதி அவசியம்: இன்ஃப்ளூயன்சர்களுக்கு சீனா...   ",0
122, வெற்றிகரமாக விண்ணில் பாய்ந்தது பிஎஸ்எல்வி சி-53   ,0
123, சிங்கப்பூரின் செயற்கைக்கோள்களுடன் பிஎஸ்எல்வி சி-53 ராக்கெட் இன்று விண்ணில் பாய்கிறது   ,0
124, ‘சைபர் பாதுகாப்பு’ காலத்தின் கட்டாயம் - முதன்மை அறிவியல் ஆலோசகர் அஜய் குமார்...   ,0
125, 2 ஆண்டு வாரன்டியுடன் இந்தியாவில் போக்கோ F4 5ஜி ஸ்மார்ட்போன் அறிமுகம்: விலை...   ,0
126, உயிரிழந்தவர்களின் குரலை மிமிக் செய்யும் அலெக்சா? - அமேசானின் பலே திட்டம்   ,0
127, இந்திய சந்தையில் அறிமுகமானது சாம்சங் F13 ஸ்மார்ட்போன் | விலை & சிறப்பு...   ,0
128, பாட்னா உயர் நீதிமன்ற நீதிபதிகள் அனைவருக்கும் ஐபோன் 13 புரோ வாங்க முடிவு:...  ,0
129, சர்வதேச யோகா தினம் | ஸ்மார்ட் யோகா மேட்டை அறிமுகம் செய்த யோகிஃபை   ,0
130, 'i1' என்ற ஸ்மார்ட் கண்ணாடியை அறிமுகம் செய்துள்ள நாய்ஸ் நிறுவனம் | விலை...   ,0
131,ப்ரீமியம்  டெலிகிராம் ப்ரீமியம் | கூடுதல் அம்சங்களுடன் கட்டணச் சந்தா அறிமுகம் - விரிவான...   ,0
132, இந்திய சந்தையில் அறிமுகமானது ரியல்மி C30 ஸ்மார்ட்போன் | விலை & சிறப்பு...   ,0
133, ஆலைகளில் வெளியேறும் கார்பன் டை ஆக்சைடை வெப்பநிலை மாறாமல் உறிஞ்சும் தொழில்நுட்பம்: சிக்ரி...   ,0
134, இவ்வாண்டு இறுதிக்குள் 25 நகரங்களில் 5ஜி   ,0
135, இந்தியாவில் 700+ ஸ்போர்ட்ஸ் மோடுடன் 'போட் Xtend ஸ்போர்ட்' ஸ்மார்ட்வாட்ச் அறிமுகம்   ,0
136, யூடியூப் ஷார்ட்ஸ் வீடியோக்களை மாதந்தோறும் 150 கோடிக்கும் மேலான பயனர்கள் பார்ப்பதாக தகவல்   ,0
137, இந்தியாவில் விற்பனைக்கு வந்தது ‘டிஸோ வாட்ச் D’ - விலை & அம்சங்கள்   ,0
138, இந்தியாவில் அறிமுகமானது சியோமி 'பேட்டரி ரீப்ளேஸ்மென்ட் புரோகிராம்' | ஆரம்ப விலை ரூ.499   ,0
139, முகமது நபிகள் விவகாரம் | மன்னிப்பு கோருமாறு தானே நகர காவல்துறை வெப்சைட்டை...   ,0
140, 27 ஆண்டு சேவைக்குப் பிறகு இன்டர்நெட் எக்ஸ்புளோரர் நாளை ஓய்வு   ,0
141,ப்ரீமியம்  நீங்களும் ‘டாக்டர் வசீகரன்’தான்... எப்படி? - மின்னணு கழிவுகள் | E-Waste A...   ,0
142, 27 ஆண்டு காலம் நிறைவு: ஜூன் 15-ல் விடைபெறுகிறது இன்டர்நெட் எக்ஸ்ப்ளோரர்!   ,0
143, கட்டண அம்சங்களுடன் கூடிய ப்ரீமியம் சந்தா திட்டத்தை விரைவில் அறிமுகம் செய்ய டெலிகிராம்...   ,0
144, கழிவுநீர்த் தொட்டிகளை சுத்தப்படுத்தும் ‘ஹோமோசெப்’: களப்பணிக்கு தயாராகும் ஐஐடி மெட்ராஸ்-ன் ரோபோ   ,0
145, கூகுள் மேப்ஸ் மூலம் உங்கள் பகுதியின் காற்றின் தரத்தை அறிந்துகொள்வது எப்படி? -...   ,0
146," 118 நாடுகள், 305 விண்ணப்பங்கள்... - ‘வேர்ல்ட் ஜஸ்டிஸ் சேலஞ்ச்’ விருதை வென்ற...   ",0
147, இந்திய சந்தையில் அறிமுகமானது மோட்டோ ஜி82 5ஜி ஸ்மார்ட்போன் | விலை &...   ,0
148, இந்தியாவின் முதல் விர்ச்சுவல் இன்ஃப்ளூயன்சர் 'கைரா' - இன்ஸ்டாவில் கவனம் ஈர்ப்பதன் பின்புலம்   ,0
149, 90 நொடிகள் வரை ரீல்ஸ் பதிவு செய்யலாம்; ரீல்ஸ் தளத்தில் புதிய அம்சங்களை...   ,0
150," பேஸ்புக், இன்ஸ்டாகிராமில் வெறுப்பு பதிவுகள் அதிகரிப்பு   ",0
151,ப்ரீமியம்  பன்ச் கார்டு முதல் கிளவுட் வரை - ஸ்டோரேஜ் டிவைஸ்களின் பரிணாம வளர்ச்சி   ,0
152, இந்தியாவில் ஏப்ரலில் மட்டும் 16.66 லட்சம் கணக்குகளுக்கு தடை விதித்த வாட்ஸ்அப்   ,0
153, iQOO Neo 6 ஸ்மார்ட்போன் இந்தியாவில் அறிமுகம் | விலை & சிறப்பு...   ,0
154, எலெக்ட்ரிக் வாகனங்களுக்கான விலை குறைந்த பேட்டரி: சென்னை ஐஐடி ஆய்வுக் குழு தீவிர...   ,0
155, இந்தியாவில் கேம் கன்ட்ரோலரை அறிமுகம் செய்த ஜியோ | விலை & அம்சங்கள்   ,0
156, குஜராத் | நாட்டிலேயே முதல்முறை; ட்ரோன் மூலம் பார்சல் டெலிவரி செய்த இந்திய...   ,0
157, அறிமுகமானது மோட்டோ E32s ஸ்மார்ட்போன் | சிறப்பு அம்சங்கள்   ,0
158," காத்திருக்கும் நேரத்தில் ஸ்நாக்ஸ் வாங்கலாம், எடை பார்க்கலாம்... பெருங்களூருவில் வருகிறது அதிநவீன பேருந்து...   ",0
159, பயனர் தகவல்களை பயன்படுத்திய விவகாரம் | ட்விட்டருக்கு 150 மில்லியன் அமெரிக்க டாலர்...   ,0
160, அமேசானில் பிளாஸ்டிக் வாளியின் விலை ரூ.25999 - அதிர்ச்சியடைந்த நெட்டிசன்கள்  ,0
161, விவசாயத்தில் பேருதவி புரியும் IOT தொழில்நுட்பம்: ஒரு விரைவுப் பார்வை   ,0
162, இன்பினிக்ஸ் ஹாட் 12 பிளே ஸ்மார்ட்போன் இந்தியாவில் அறிமுகம்: விலை & சிறப்பு...   ,0
163, ரேசர்பே நிறுவனத்தில் ரூ.7.3 கோடி திருட்டு - பெங்களூரு சைபர் கிரைம் போலீஸில்...   ,0
164, ஸ்டார்லிங்க் | மலேசியாவில் எலான் மஸ்கின் சாட்டிலைட் மூலம் இணைய சேவை வழங்க...   ,0
165, இந்தியாவில் அறிமுகமானது விவோ Y75 ஸ்மார்ட்போன் | விலை & சிறப்பு அம்சங்கள்   ,0
166, ரியல்மி நார்ஸோ 50 புரோ 5ஜி & 50 5ஜி ஸ்மார்ட்போன்கள் அறிமுகம்...   ,0
167, உங்களுக்குத் தெரியுமா? | டெய்ஸியின் மாயாஜாலம்   ,0
168, ‘‘போலி கணக்குகள்; ஒப்பந்தம் அடுத்தகட்டத்துக்கு நகராது’’- ட்விட்டர் நிர்வாகத்துக்கு எலான் மஸ்க் எச்சரிக்கை   ,0
169, பற்களில் பாக்டீரியாவை அழிக்க நானோ பாட்கள்: இந்திய ஆராய்ச்சியாளர்களின் முன்முயற்சி   ,0
170, பட்ஜெட் விலையில் விவோ Y01 ஸ்மார்ட்போன் அறிமுகம் | சிறப்பு அம்சங்கள் &...   ,0
171, வீட்டில் அலுவலக பணி சூழல் மாற்றம் - அலுவலகம் வர சொன்னதால் 800...   ,0
172, வரலாற்றில் முதல் முறை | நிலவில் சேகரிக்கப்பட்ட மண்ணை கொண்டு செடி வளர்த்த...   ,0
173, கூகுளில் சம்ஸ்கிருதம் மொழிபெயர்ப்பு வசதி   ,0
174,ப்ரீமியம்  மின்னணு மக்கள் தொகை கணக்கெடுப்பு குறித்து அறிவித்த அமித் ஷா | எப்படி...   ,0
175, 'கூகுள் வாலெட் அப்ளிகேஷன்' - I/O டெவலப்பர் மாநாட்டில் அறிமுகம்   ,0
176,ப்ரீமியம்  'ஐபாட்' உற்பத்தியை நிறுத்தியது ஆப்பிள் | ஐபாட் பயணம்: டைம்லைன் பார்வை  ,0
177," ""ரிசர்வ் வங்கியின் அழுத்தம் காரணமாக யுபிஐ பேமெண்டை நிறுத்தியுள்ளோம்"" காயின்பேஸ் சிஇஓ   ",0
178, 'நத்திங் போன் (1)' பிளிப்கார்ட் தளம் மூலமாக மட்டுமே விற்பனை   ,0
179, இந்தியாவில் மே 18-ல் விவோ X80 சீரிஸ் ஸ்மார்ட்போன் அறிமுகம் | சிறப்பு...   ,0
180," எமோஜி ரியாக்‌ஷன்ஸ், 2 ஜிபி ஃபைல் ஷேரிங், குழுவில் 512 பேர்... -...   ",0
181, ஆன்லைன் ஷாப்பிங் முதல் வங்கி கணக்குகள் வரை: ஹேக்கர்கள் ‘உஷார்’   ,0
182, வாழ்நாள் 16 ஆண்டுகள்... புதிய புரோ Endurance மைக்ரோ எஸ்டி கார்டை அறிமுகம்...   ,0
183, ட்விட்டர் சர்க்கிள் | குறிப்பிட்ட சிலருக்கு மட்டுமே ட்வீட்களை பகிரும் புதிய அம்சம்   ,0
184, பயனர்களின் பிறந்த தேதியை உள்ளிடுமாறு கட்டாயப்படுத்தும் இன்ஸ்டாகிராம்: காரணம் என்ன?   ,0
185, இந்தியாவில் அறிமுகமானது விவோ T1 புரோ 5ஜி மற்றும் T1 44W ஸ்மார்ட்போன்...   ,0
186, ஒரே மாதத்தில் 18.05 லட்சம் இந்திய கணக்குகளுக்கு தடை விதித்த வாட்ஸ்அப்   ,0
187,ப்ரீமியம்  ஹேக்கர்களிடம் இருந்து உங்கள் கணக்குகளைப் பாதுகாக்க 10 இணையப் பாதுகாப்பு டிப்ஸ்   ,0
188,ப்ரீமியம்  நோக்கியா G21 முதல் ரியல்மி GT 2 வரை | இந்தியாவில் அறிமுகமான...   ,0
189, இந்தியாவில் அறிமுகமானது ரியல்மி GT நியோ 3 ஸ்மார்ட்போன் | விலை &...   ,0
190, ஸ்மார்ட் வாட்டர் பாட்டில் விற்பனையில் களமிறங்கிய ஆப்பிள் - விலை & விவரம்   ,0
191, இந்தியாவில் அறிமுகமானது iQoo Z6 Pro 5G மற்றும் iQoo Z6 4G...   ,0
192, இந்தியாவில் அறிமுகமானது மைக்ரோமேக்ஸ் IN 2c ஸ்மார்ட்போன் | விலை & சிறப்பு...  ,0
193, 'பேச்சு சுதந்திரம் என்பது?' - விளக்கம் கொடுத்துள்ள எலான் மஸ்க்   ,0
194, மஸ்க் வசமான ட்விட்டர் | வெறுப்புப் பேச்சு குறித்த கவலையில் மனித உரிமை...   ,0
